Date,Region,Category,Supplier,Warehouse,Units Sold,Inventory Level,Transportation Cost,Order Accuracy Cleaned,Lead Time,Backorder,COGS,Warehouse Capacity
7/13/2023,East,Accessories,Supplier C,WH-01,364,1486,3793.84,Yes,17,TRUE,10691.52,4306
1/1/2000,West,Furniture,Supplier A,WH-02,555,4851,4875.85,No,7,FALSE,11276.92,8746
4/3/2023,West,Accessories,Supplier A,WH-02,608,378,4185.1,Yes,2,TRUE,13087.94,9642
4/16/2023,West,Furniture,Supplier C,WH-03,497,2650,3363.76,No,28,FALSE,2238.13,5574
11/26/2023,South,Electronics,Supplier A,WH-01,543,3774,1676.95,No,25,FALSE,12237.03,6577
1/1/2000,South,Electronics,Supplier C,WH-01,324,1522,-3314.06,Yes,3,TRUE,15262.43,8968
8/17/2023,East,Electronics,Supplier A,WH-02,166,4225,4924.47,No,8,FALSE,2837.22,7923
1/1/2000,East,Clothing,Supplier D,WH-02,628,2007,3657.43,Yes,28,TRUE,2622.02,7261
1/1/2000,South,Accessories,Supplier B,WH-02,515,2562,3305.89,No,17,TRUE,16490.65,6957
1/1/2000,North,Furniture,Supplier D,WH-03,26,1223,2044.1,No,17,TRUE,6608.04,4878
1/1/2000,South,Clothing,Supplier A,WH-02,809,3293,4059.05,No,14,TRUE,11274.96,4546
1/1/2000,East,Electronics,Supplier A,WH-03,455,1302,4814.24,No,13,FALSE,8955.96,6064
3/25/2023,South,Clothing,Supplier A,WH-01,908,1952,3666.98,Yes,22,TRUE,13246.64,6578
5/13/2023,North,Clothing,Supplier A,WH-03,279,324,3884.75,No,2,FALSE,10639.72,9279
9/22/2023,East,Clothing,Supplier A,WH-03,923,1302,3265.38,Yes,30,FALSE,9360.8,8101
1/1/2000,Unassigned,Accessories,Supplier B,WH-01,892,4521,3947.29,Yes,12,FALSE,7199.35,4277
10/13/2023,East,Clothing,Supplier C,WH-02,653,4635,2271.82,No,14,FALSE,6538.08,9893
10/7/2023,East,Accessories,Supplier B,WH-01,884,2375,-2974.05,No,11,FALSE,4193.51,5744
6/6/2023,North,Furniture,Supplier C,WH-01,952,4249,4916.51,Yes,13,TRUE,17687.44,5519
6/21/2023,North,Electronics,Supplier B,WH-02,687,1852,3629.15,Yes,25,FALSE,9385.86,8401
1/1/2000,West,Clothing,Supplier A,WH-01,69,2537,4316.42,Yes,17,TRUE,1161.13,7059
1/1/2000,South,Accessories,Supplier D,WH-02,102,1352,3421.78,No,25,FALSE,6588.83,4613
3/21/2023,West,Electronics,Supplier D,WH-02,141,2975,3019.82,No,9,FALSE,15061.13,9526
6/26/2023,North,Accessories,Supplier B,WH-01,292,3597,1404.69,No,15,FALSE,7359.64,8839
8/21/2023,West,Food & Beverage,Supplier D,WH-02,121,1978,3585.7,Yes,5,FALSE,7759.89,5313
1/1/2000,Unassigned,Accessories,Supplier A,WH-02,249,1174,1601.79,Yes,14,FALSE,14257.72,7475
9/26/2023,North,Clothing,Supplier B,WH-03,860,4351,1645.57,Yes,1,FALSE,16898.73,9120
1/18/2023,East,Furniture,Supplier B,WH-01,152,4587,2337.15,No,15,TRUE,16374.06,4177
1/1/2000,South,Electronics,Supplier D,WH-01,403,1278,1302.72,No,15,TRUE,17612.92,9733
1/1/2000,South,Accessories,Supplier C,WH-02,119,170,2740.83,Yes,25,FALSE,8286.09,6043
1/1/2000,East,Clothing,Supplier A,WH-01,737,1046,4712.66,Yes,27,FALSE,18082.27,9906
3/6/2023,North,Furniture,Supplier B,WH-03,135,4990,516.96,Yes,30,TRUE,13868.99,9117
4/21/2023,South,Furniture,Supplier A,WH-03,766,2894,1386.99,No,13,TRUE,5823,7680
5/12/2023,East,Furniture,Supplier A,WH-03,446,258,3755.26,No,25,TRUE,10388.07,9456
1/1/2000,Unassigned,Clothing,Supplier D,WH-01,994,4634,1615.57,Yes,16,TRUE,19249.95,4536
1/1/2000,East,Clothing,Supplier A,WH-02,356,4301,1800.41,Yes,17,TRUE,15046.76,8461
1/1/2000,South,Clothing,Supplier B,WH-01,872,1346,2166.02,No,18,TRUE,17583.53,9411
9/27/2023,North,Furniture,Supplier C,WH-03,213,2301,4276.9,No,13,TRUE,11484.06,6650
3/28/2023,South,Clothing,Supplier B,WH-01,953,3222,3722.93,No,2,FALSE,8382.51,5389
1/1/2000,East,Electronics,Supplier B,WH-02,422,906,3976.76,No,8,TRUE,5367.35,7120
1/1/2000,North,Clothing,Supplier D,WH-02,105,537,3045.6,No,29,FALSE,5760.99,5818
2/21/2023,North,Food & Beverage,Supplier C,WH-03,682,2317,1111.67,No,10,TRUE,3517.05,6640
1/28/2023,South,Clothing,Supplier C,WH-03,316,1973,-3484.58,Yes,4,FALSE,16235.69,7969
1/1/2000,East,Food & Beverage,Supplier D,WH-01,730,4858,3140.17,No,22,FALSE,2786.22,6589
1/1/2000,East,Clothing,Supplier B,WH-03,898,195,3844.56,No,17,FALSE,2772.88,4774
11/19/2023,West,Food & Beverage,Supplier A,WH-01,301,4941,4588.47,No,26,TRUE,14406.2,9620
2/8/2023,East,Clothing,Supplier B,WH-02,872,2657,2094.62,Yes,7,FALSE,18874.77,9721
1/24/2023,South,Electronics,Supplier D,WH-01,822,3245,873.48,Yes,22,FALSE,13578.51,4798
1/1/2000,West,Food & Beverage,Supplier A,WH-03,835,2747,2292.73,No,25,TRUE,17352.33,8368
1/1/2000,South,Accessories,Supplier C,WH-03,860,4548,2882.26,Yes,14,TRUE,1907.29,4337
